Country,State,Year,Youth Hostel Locations,"Youth Hostels Constructed (UOM:Number), Scaling Factor:1"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020","Kadapa, Tirupati, Vijayawada, Visakhapatnam, Vizianagaram",5.0000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020","Naharlagun, Roing",2.0000000000000000
India,Assam,"Financial Year (Apr - Mar), 2020","Guwahati,Tezpur",2.0000000000000000
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,1.00000000000000000000
India,Goa,"Financial Year (Apr - Mar), 2020","Panaji, PeddemMapusa",2.0000000000000000
India,Gujarat,"Financial Year (Apr - Mar), 2020",Gandhinagar,1.00000000000000000000
India,Haryana,"Financial Year (Apr - Mar), 2020","Bhiwani, Gurgaon, Kurukshetra, Panchkula, RewariSirsa, Yamuna Nagar",7.0000000000000000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",Dalhousie,1.00000000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020","Patnitop, Srinagar",2.0000000000000000
India,Karnataka,"Financial Year (Apr - Mar), 2020","Hassan, Mysore, Sogalu, Tirtharameshwar",4.0000000000000000
India,Kerala,"Financial Year (Apr - Mar), 2020","Calicut (Kozhikode), Ernakulam (Kochi), Trivandrum",3.0000000000000000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020","Bhopal, Jabalpur, Khajuraho",3.0000000000000000
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Aurangabad,1.00000000000000000000
India,Manipur,"Financial Year (Apr - Mar), 2020","Churachandpur, Imphal, Thoubal",3.0000000000000000
India,Meghalaya,"Financial Year (Apr - Mar), 2020",Shillong,1.00000000000000000000
India,Mizoram,"Financial Year (Apr - Mar), 2020",Aizwal,1.00000000000000000000
India,Nagaland,"Financial Year (Apr - Mar), 2020",Dimapur,1.00000000000000000000
India,Odisha,"Financial Year (Apr - Mar), 2020","Gopalpur-on-Sea, Joshipur, Koraput, Puri",4.0000000000000000
India,Puducherry,"Financial Year (Apr - Mar), 2020",Puducherry,1.00000000000000000000
India,Punjab,"Financial Year (Apr - Mar), 2020","Amritsar, Jalandhar, Patiala, Ropar, Sangrur, Tarn Taran",6.0000000000000000
India,Rajasthan,"Financial Year (Apr - Mar), 2020","Ajmer, Jaipur, Jodhpur, Udaipur",4.0000000000000000
India,Sikkim,"Financial Year (Apr - Mar), 2020",Gangtok,1.00000000000000000000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020","Chennai, Madurai, Ooty, Thanjavaur, Trichy",5.0000000000000000
India,Telangana,"Financial Year (Apr - Mar), 2020","Nagarjunasagar, Secunderabad, Warangal",3.0000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2020",Agartala,1.00000000000000000000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020","Agra, Lucknow",2.0000000000000000
India,Uttarakhand,"Financial Year (Apr - Mar), 2020","Badrinath, Mussoorie, Nainital, Uttarkashi",4.0000000000000000
India,West Bengal,"Financial Year (Apr - Mar), 2020",Darjeeling,1.00000000000000000000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2019",Port Blair,1.00000000000000000000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019","Kadapa, Tirupati, Vijayawada, Visakhapatnam, Vizianagaram",5.0000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019","Naharlagun, Roing",2.0000000000000000
India,Assam,"Financial Year (Apr - Mar), 2019","Guwahati,Tezpur",2.0000000000000000
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,1.00000000000000000000
India,Goa,"Financial Year (Apr - Mar), 2019","Panaji, PeddemMapusa",2.0000000000000000
India,Gujarat,"Financial Year (Apr - Mar), 2019",Gandhinagar,1.00000000000000000000
India,Haryana,"Financial Year (Apr - Mar), 2019","Bhiwani, Gurgaon, Kurukshetra, Panchkula, RewariSirsa, Yamuna Nagar",7.0000000000000000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",Dalhousie,1.00000000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019","Patnitop, Srinagar",2.0000000000000000
India,Karnataka,"Financial Year (Apr - Mar), 2019","Hassan, Mysore, Sogalu, Tirtharameshwar",4.0000000000000000
India,Kerala,"Financial Year (Apr - Mar), 2019","Calicut (Kozhikode), Ernakulam (Kochi), Trivandrum",3.0000000000000000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019","Bhopal, Jabalpur, Khajuraho",3.0000000000000000
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,1.00000000000000000000
India,Manipur,"Financial Year (Apr - Mar), 2019","Churachandpur, Imphal, Thoubal",3.0000000000000000
India,Meghalaya,"Financial Year (Apr - Mar), 2019",Shillong,1.00000000000000000000
India,Mizoram,"Financial Year (Apr - Mar), 2019",Aizwal,1.00000000000000000000
India,Nagaland,"Financial Year (Apr - Mar), 2019",Dimapur,1.00000000000000000000
India,Odisha,"Financial Year (Apr - Mar), 2019","Gopalpur-on-Sea, Joshipur, Koraput, Puri",4.0000000000000000
India,Puducherry,"Financial Year (Apr - Mar), 2019",Puducherry,1.00000000000000000000
